語	級別	舊	漢字・原文	備註	發音	中文意思
ばいきん	1		黴菌		0	細菌
ハイキング	2		hiking		1,3	徒步旅行、遠足
はいく	2		俳句		0	俳句
はいぐうしゃ	1		配偶者		3	配偶
はいけい	1		背景		0	背景
はいけい	1		拝啓		1	敬啟者
はいけん	2		拝見		0	拜見、拜讀、瞻仰
はいけん（する）	3		拝見（する）		0	〔謙譲語〕拜見
はいご	1		背後		1	背後
はいざら	4		灰皿		0	煙灰缸
はいし	1		廃止		0	廢除
はいしゃ	3		歯医者		1	牙科醫生
はいしゃく	1		拝借		0	借
はいじょ	1		排除		1	排除
ばいしょう	1		賠償		0	賠償
はいすい	1		排水		0	排水
はいせん	1		敗戦		0	戰敗
はいたつ	2		配達		0	送、分送
はいち	1		配置		0,1	配置、布置
ばいてん	2		売店		0	小賣店
バイバイ	2		bye-bye		1	拜拜
ばいばい	2		売買		1	買賣
はいふ	1		配布		0,1	散發
パイプ	2		pipe		0,1	管道、煙斗
はいぶん	1		配分		0	分配
はいぼく	1		敗北		0	打敗仗、失敗
はいゆう	2		俳優		0	演員
ばいりつ	1		倍率		0	倍率
はいりょ	1		配慮		1	關懷、照顧
はいる	4		入る		1	進入
はいれつ	1		配列		0	排列
パイロット	2		pilot		1,3	飛行員
はう	2		這		1	爬
はえる	2		生える		2	生、長
はえる	1		映える		2	照、襯托
はか	2		墓		2	墓
ばか	2		馬鹿		1	愚蠢、糊塗、不合理
はかい	1		破壊		0	破壞
はがき	4		葉書		0	明信片
はがす	2		剥がす		2	剝下、揭下
はかせ	2		博士		1	博士
はかどる	1		捗る		3	進展
はかない	1		儚い		3	短暫、無常、不可靠
ばかばかしい	1		馬鹿馬鹿しい		5	很無聊
ばからしい	2		馬鹿らしい		4	愚蠢、荒謬、不値得
はかり	2		秤		3	秤
ばかり	3		〜ばかり		1	左右、上下、大約
はかる	2		計る//測る//量る		2	計劃、計量//衡量//謀算、測量
はかる	1		諮る		2	商量
はかる	1		図る		2	圖謀、策劃、謀求
はき	1		破棄		1	廢棄、廢除、撕毀、取消
はきけ	2		吐気		3	噁心、想要嘔吐
はきはき	2		はきはき		3	乾脆、爽快
はく	4		穿く//履く「ズボンをはく」「靴をはく」		0	穿
はく	2		吐く		1	嘔吐、吐出、說出
はく	2		掃く		1	打掃
はく	2		〜泊			宿
はぐ	1		剥ぐ		1	剝下、剝奪、揭下
はくがい	1		迫害		0	迫害、虐待
はくじゃく	1		薄弱		0	軟弱、薄弱、不充足
はくしゅ	2		拍手		1	拍手、鼓掌
はくじょう	1		白状		1	坦白、招認
ばくぜん	1		漠然		0	含糊
ばくだい	2		莫大		0	巨大、莫大
ばくだん	1		爆弾		0	炸毀、爆破
ばくは	1		爆破		1	爆炸、爆發
ばくはつ	2		爆発		0	炸彈
はくぶつかん	2		博物館		3,4	博物館、博物院
はぐるま	2		歯車		2	齒輪
ばくろ	1		暴露		1	曝晒、曝露、敗露
はげしい	2		激しい		3	激烈、強烈、猛烈
バケツ	2		bucket		0	水桶
はげます	1		励ます		3	激勵、鼓勵、勉勵
はげむ	1		励む		2	努力、刻苦、辛勤
はげる	1		剥げる		2	剝落、退色
ばける	1		化ける		2	變化、喬裝
はけん	1		派遣		0	派遣、派出
はこ	4		箱		0	箱子、盒、匣子
はこぶ	3		運ぶ		0	運送、搬運、移步
はさまる	2		挟まる		3	夾
はさみ	2		鋏		3	剪刀、剪票鉗
はさむ	2		挟む		2	夾、插、懷
はさん	2		破産		0	破產
はし	4		箸「はしで御飯を食べる」		1	筷子
はし	4		橋		2	橋梁、架橋、天橋
はし	2		端		0	端、邊緣、片斷
はじ	1		恥		2	羞恥、恥辱
はじく	1		弾く		2	彈、撥弄
はしご	2		梯子		0	梯子
はじまり	2		始まり		0	開始、開端、起緣
はじまる	4		始まる		0	開始、引起、發生
はじめ	4		初め（に）		0	最初、開頭、起因、原先、起源
はじめて	4		初めて		2	初次、唯有…才
はじめまして。	4		初めまして。	挨拶語	4	初次見面、幸會
はじめる	3		始める		0	開始、開創、起來
はじめる	3	*2	〜始める	補助動詞	0	開始〜
パジャマ	1		pajamas		1	睡衣
ばしょ	3	*2	場所		0	地方、場所、位置
はしら	2		柱		0,3	柱子、支柱、靠山
はじらう	1		恥らう		3	害羞
はしる	4		走る		2	跑、奔流
はじる	1		恥じる		2	羞愧、敗壞名聲
はしわたし	1		橋渡し		3	架橋、搭橋
はす	2		斜		0	斜
はず	3		筈		0	應該、理所當然
バス	4		bus		1	公共汽車、巴士
バス	1		bath		1	浴室
パス	2		pass		1	通過、合格、入場券
はずかしい	3		恥ずかしい		4	羞恥、害臊、可恥
はずす	2		外す		0	取下、錯過、失掉、避開
パスポート	2		passport		3	護照
はずむ	1		弾む		0	跳、蹦、反跳、高漲
はずれる	2		外れる		0	脫落、不中、不准、落空
パソコン	3	*0	personalcomputer		0	個人電腦
はそん	1		破損		0	破損、損壞
はた	2		旗		2	旗幟、收攤
はだ	2		肌		1	皮膚、肌膚、表面
バター	4		butter		1	奶油、黃油
パターン	2		pattern		2	模式、圖案、類型
はだか	2		裸		0	裸體、赤裸、精光
はだぎ	2		肌着		3	貼身衣物、汗衫
はたく	1		叩く		2	拍打、撣
はたけ	2		畑		0	旱田、田地
はだし	1		裸足		0	赤腳、赤足、光著腳
はたして	2		果たして		2	果然、果真、究竟
はたす	1		果たす		2	完成、實現
はたち	4		二十歳		1	二十歲
はたらき	2		働き		0	工作、功勞、功能
はたらく	4		働く		0	工作、勞動、活動
はち	4		八		2	八、第八個
はち	2		鉢		2	大碗、盆、頭蓋骨
はちみつ	1		蜂蜜		0	蜂蜜
パチンコ	1		pachinko	日本語	0	柏青哥、小彈珠
はつ	2		〜発			顆、發
ばつ	2		ばつ		0	（「×」記號）不可以
ばつ	1		罰		1	懲罰、處罰
はついく	1		発育		0	發育、成長
はつおん	3		発音		0	發音
はつか	4		二十日		0	二十號、二十日、二十天
はつが	1		発芽		0	發芽、出芽
はっき	2		発揮		0	發揮、施展
はっきり	3		はっきり		3	清楚
バック	0	*2	back		1	背景、後退
バッグ//ハンドバッグ	2		bag/handbag		1//4	(手提)包
はっくつ	2		発掘		0	發掘、挖掘
はっけん	2		発見		0	發現
はつげん	1		発言		0	發言
はっこう	2		発行		0	發放、發售
バッジ	1		badge		0,1	徽章
はっしゃ	2		発車		0	開車、發車
はっしゃ	2		発射		0	發射
ばっする	2		罰する		0,3	責罰
はっせい	1		発生		0	發生、出現
はっそう	2		発想		0	主意、表現
はったつ	2		発達		0	進步、發展
ばったり	2		ばったり		3	突然倒下
バッテリー	1		battery		0,1	蓄電池
はってん	2		発展		0	擴展、發展
はつでん	2		発電		0	發電
バット	1		bat		1	球棒
はつばい	2		発売		0	出售
はつびょう	1		発病		0	得病
はっぴょう	2		発表		0	發表、揭曉
はつみみ	1		初耳		0	初次聽到
はつめい	2		発明		0	發明
はて	1		果		2	結局、邊際
はで	2		派手		0	華美、鮮麗
はてる	1		果てる		2	完畢、終、做完
ばてる	1		ばてる		2	疲乏至極
パトカー	1		patrolcar		2,3	警車
はな	4		鼻		0	鼻子
はな	4		花		2	花
はなし	4		話		3	說話、故事
はなしあい	2		話し合い		0	協商、談話
はなしあう	2		話し合う		4	對話、商量
はなしかける	2		話し掛ける		5	開人說話、向對方發話
はなしちゅう	2		話し中		0	說話中、電話通話中
はなす	4		話す		2	講、談話、告訴
はなす	2		離す//放す		2	隔開、放開
はなはだ	1		甚だ		0	非常
はなはだしい	2		甚だしい		5	很、非常的
はなばなしい	1		華々しい		5	華麗的
はなび	2		花火		1	焰火、煙火
はなびら	1		花弁		0,3,4	花瓣
はなみ	3		花見		3	賞花
はなやか	1		華やか		2	華麗、顯赫
はなよめ	2		花嫁		2	新娘
はなれる	2		離れる、放れる		3	分開、脫離
はね	2		羽、羽根		0	羽毛、翅膀
ばね	2		発条		1	發條、彈簧
はねる	2		跳ねる		2	跳躍
はは	4		母		1	母親、媽媽
はば	2		幅		0	寬度、餘地
パパ	3	*1	papa		1	爸爸
ははおや	2		母親		0	母親、媽媽
はばむ	1		阻む		2	阻礙、阻擋
はぶく	2		省く		2	省略、節省
はへん	2		破片		0	碎片
はま	1		浜		2	海濱、沙灘
はまべ	1		浜辺		3	海濱
はまる	1		嵌る		0	吻合、陷入
はみがき	2		歯磨き		2	刷牙、牙膏
はめる	2		嵌める		0	安上、套上、使…陷、欺騙
ばめん	2		場面		0	場面、場地、情景、場景
はやい	4		早い		2	早
はやい	4		速い		2	快、快速、敏捷
はやくち	2		早口		2	說話快
はやし	3	*2	林		0	樹林
はやす	1		生やす		2	留長、使…生長
はやめる	1		早める		3	加速
はやる	2		流行る		2	流行
はら	2		腹		2	肚子、想法
はら	2		原		1,2	平地
はらいこむ	2		払い込む		0,4	繳納
はらいもどす	2		払い戻す		5	退還
はらう	3		払う		2	拂、付款、擦、除去、揮
はらだつ	1		腹立つ		3	生氣
はらっぱ	1		原っぱ		1	空地
はらはら	1		はらはら		1	掉落、非常擔心
ばらまく	1		散撒く		3	撒播、散財
バランス	2		balance		0	平衡
はり	2		針		1	縫針
はりがね	2		針金		0	鋼絲、電線
はりがみ	1		張り紙		0	貼紙
はりきる	2		張り切る		3	拉緊、精神百倍
はる	4		貼る「切手をはる」		0	貼
はる	4		春		1	春天
はる	2		張る//貼る		0	伸展、膨張、緊張//貼
はるか	1		遥か		1	遙遠
はれ	4	*2	晴れ		2	晴天、隆重
はれつ	1		破裂		0	破裂
はれる	4		晴れる		2	晴、出晴、雲散發
はれる	1		腫れる		0	腫脹
はん	4		〜半		1	一半、二分之一
はん	2		半		1	一半
はん	2		反〜			反對
はん	1		判		1	印鑑、畫押
はん	1		版		1	版次、木版
はん	1		班		1	集團、組
バン	2		van		1	敞篷車、運貨車
ばん	4		晩		0	晚、晚上
ばん	4		〜番			班、次序
ばん	2		番		1	看守、輪班
パン	4		pão	ポルトガル語	1	麵包
はんい	2		範囲		1	範圍、界限
はんえい	2		反映		0	反映
はんえい	1		繁栄		0	興旺、繁榮
はんが	1		版画		0	版畫、木刻
ハンガー	1		hanger		1	衣架
ハンカチ	4		handkerchief		0,1,3	手帕
はんかん	1		反感		0	反感
はんきょう	1		反響		0	反應、回音
パンク	1		puncture/punk		0//1	爆胎//阿飛
ばんぐみ	3		番組		4	節目
はんけい	2		半径		1	半徑
はんげき	1		反撃		0	反擊
はんけつ	1		判決		0	判決
はんこ	2		判子		3	圖章、印鑑
はんこう	2		反抗		0	反抗、對抗
ばんごう	4		番号		3	號碼
ばんごはん	4		晩御飯		3	晚餐
はんざい	2		犯罪		0	犯罪
ばんざい	2		万歳		3	萬歲、太好了
ハンサム	2		handsome		1	美男子、英俊
はんじ	2		判事		1	審判官
はんしゃ	1		反射		0	反射
はんじょう	1		繁盛		1	繁榮昌盛
はんしょく	1		繁殖		0	繁殖
はんする	2	*1	反する		3	違反
はんせい	2		反省		0	反省
はんたい	3		反対		0	相反、反對
はんだん	2		判断		1	判斷
ばんち	2		番地		0	門牌號碼、住址
パンツ	2		pants「下着」		1	內褲
はんてい	1		判定		0	判定
バンド	0	*2	band「ベルト」		0	(皮)帶［樂團］
はんとう	2		半島		0	半島、朝鮮
ハンドバッグ	2		handbag		4	手提包
ハンドル	2		handle		0	方向盤、把手
はんにん	2		犯人		1	犯人
ばんにん	1		万人		0,3	萬人、眾人
ばんねん	1		晩年		0	晚年、暮年
はんのう	1		反応		0	反應
ばんのう	1		万能		0	萬能、全能
はんぱ	1		半端		0	零頭、不徹底
ハンバーグ	3	*0	Hamburgsteak		3	漢堡(肉)
はんばい	2		販売		0	販賣
はんぱつ	1		反発		0	排斥、不接受
はんぶん	4		半分		3	一半、二分之一
ばんめ	2		〜番目			物品或演出的順序
はんらん	1		反乱		0	叛亂、反叛
はんらん	1		氾濫		0	氾濫
ひ	3		日		0	太陽、天數、白天
ひ	3		火、灯		1	火、燈、光
ひ	2		非〜		1	錯誤、不對
ひ	2		〜費			費用
ひ	1		碑		0	石碑
ひ	1		被			被害、被動（行為表現的漢字）
び	1		美		1	美麗、美好
ひあたり	2		日当たり		0	向陽處
ピアノ	3	*2	piano	イタリア語	0,1	鋼琴
ひいては	1		延いては		1,3	進而
ビール	2		bier	オランダ語	1	啤酒
ビールス	0	*1	virus		1	病毒、濾過性病原體
ひえる	3		冷える		2	變冷、感覺冷
ひがい	2		被害		1	受害
ひかえしつ	1		控室		3	等候室、休息室
ひがえり	2		日帰り		0,4	當天回來
ひかえる	1		控える		2,3	待命、控制
ひかく	2		比較		0	比較
ひかくてき	2		比較的		0	比較
ひかげ	1	*2	日陰		0	陰涼地方
ひがし	4		東		3	東方
ぴかぴか	2		ぴかぴか		0,1	閃閃發光貌
ひかり	3	*2	光		3	光亮、光明
ひかる	3	*2	光る		2	發光、出眾
ひかん	1		悲観		0	悲觀
ひき	4		〜匹			〜隻、〜尾
ひきあげる	1		引き上げる		4	吊起、提高、返回
ひきいる	1		率いる		3	帶領、率領
ひきうける	2		引き受ける		4	承擔、照顧、繼承
ひきおこす	1		引き起こす		4	引起、扶起
ひきかえす	2		引き返す		3	返回、折回
ひきさげる	1		引き下げる		4	降低、使退後
ひきざん	2		引き算		2	減法
ひきずる	1		引き摺る		0	拖、強拉硬拖
ひきだし	3		引き出し		0	抽出、抽屜
ひきだす	2		引き出す		3	抽出、提出
ひきとめる	2		引き止める		4	留、制止
ひきとる	1		引き取る		3	退出、取回
ひきょう	2		卑怯		2	懦弱、無恥
ひきわけ	2		引分		0	平手、不分勝負
ひく	4		引く		0	拉、拔、減去、查、遺傳
ひく	4		弾く		0	彈奏
ひく	2		轢く		0	壓
ひくい	4		低い		2	低的、低微的、矮的
ピクニック	2		picnic		1,3	郊遊、野餐
ひげ	3		髭		0	鬍鬚、鬍子
ひげき	2		悲劇		1	悲劇
ひけつ	1		否決		0	否決
ひこう	2		飛行		0	飛行、航空
ひこう	1		非行		0	不正當的行為
ひこうき	4		飛行機		2	飛機
ひこうじょう	3		飛行場		0	飛機埸
ひごろ	1		日頃		0	平常
ひざ	2		膝		0	膝
ひざし	2		陽射し		0	陽光照射
ひさしい	1		久しい		3	好久的
ひさしぶり	3		久しぶり		0,5	好久不見
ひさん	1		悲惨		0	悲慘
ひじ	2		肘		2	肘
ビジネス	1		business		1	生意、商業、業務
ひじゅう	1		比重		0	比例
びじゅつ	1		美術		1	美術
びじゅつかん	3		美術館		3	美術館
ひしょ	1		秘書		1,2	秘書
ひじょう	2		非常		0	緊急
びしょう	1		微笑		0	微笑
ひじょうに	3		非常に		0	非常、特別
びじん	2		美人		1	美人
ピストル	2		pistol		0	手槍
ひずむ	1		歪む		0,2	變形
ひそか	1		密か		1,2	暗中
ひたい	2		額		0	額
ひたす	1		浸す		0,2	浸泡
ひたすら	1		只管		0	只顧
ビタミン	2		Vitamin	ドイツ語	2	維他命
ひだり	4		左		0	左、左邊
ぴたり	2		ぴたり		2.3	突然停止、緊緊、恰當
ひだりきき	1		左利き		0	左撇子
ひっかかる	2		引っ掛かる		4	掛上
ひっかく	1		引っ掻く		3	搔抓
ひっかける	2		引っ掛ける		4	掛起來
ひっき	2		筆記		0	筆記
ひっくりかえす	2		引っ繰り返す		5	弄倒
ひっくりかえる	2		引っ繰り返る		5	翻倒
びっくりする	3		吃驚する		3	吃驚、嚇一跳
ひづけ	2		日付		0	日期
ひっこし	2		引越し		0	搬家
ひっこす	3		引っ越す		3	搬家、遷居
ひっこむ	2		引っ込む		3	隱退
ひっし	2		必死		0	拼命
ひっしゃ	2		筆者		1	筆者
ひっしゅう	1		必修		0	必修
ひつじゅひん	2		必需品		0	必需品
びっしょり	1		びっしょり		3	溼透
ひつぜん	1		必然		0	必然
ぴったり	2		ぴったり		3	正適合、緊緊
ひってき	1		匹敵		0	比得上
ひっぱる	2		引っ張る		3	拉、引進、引誘
ひつよう	3		必要		0	必要、必需
ひてい	2		否定		0	否定
ビデオ	2		video		1	錄影機、錄影帶、攝影機
ひと	4		人		0,2	人
ひと	2		一〜		0,2	一個、一下
ひどい	3		酷い		2	無情、殘酷的、厳重、極差
ひといき	1		一息		2	一口氣
ひとかげ	1		人影		0	人影
ひとがら	1		人柄		0	人品
ひとけ	1		人気		0	人的氣息
ひとこと	2		一言		2	一句話
ひとごみ	2		人込み		0	人群
ひところ	1		一頃		2	前些日子
ひとさしゆび	2		人差し指		4	食指
ひとしい	2		等しい		3	相等的
ひとじち	1		人質		0	人質
ひとすじ	1		一筋		2	一心一意
ひとつ	4		一つ		2	一個、一歲、一方面
ひとつき	4		一月		2	一個月
ひととおり	2		一通り		0	大概、一種類
ひとどおり	2		人通り		0	人來人往
ひとまず	2		一先ず		2	姑且
ひとみ	2		瞳		0	眼珠子
ひとめ	1		人目		0	眾目
ひとやすみ	2		一休み		2	休息片刻
ひとり	4		一人		2	一個人、一名
ひとり	2		独り		2	獨自
ひどり	1		日取り		0	日程
ひとりごと	2		独り言		0,4,5	自言自語
ひとりでに	2		独りでに		0	自行
ひとりひとり	2		一人一人		5	每個人
ひとりびとり	0		一人一人		4	每個人
ひな	1		雛		1	雛鳥
ひなた	1		日向		0	向陽處
ひなまつり	1		雛祭り		3	女兒節、桃花節
ひなん	1		非難		1	責備
ひなん	1		避難		1	避難
ビニール	2		vinyl		2	乙烯樹脂、塑料袋
ひにく	2		皮肉		0	皮和肉、諷刺
ひにち	2		日日		0	日數、日期
ひねる	2		捻る		2	扭轉、打敗
ひのいり	2		日の入り		0	日暮、黃昏
ひので	2		日の出		0	日出
ひのまる	1		日の丸		0	太陽形、日本國旗
ひばな	1		火花		1	火星、火花
ひはん	2		批判		0	批判、批評
ひび	1		皹「かべの〜」		2	凍裂
ひびき	2		響き		3	響聲、影響
ひびく	2		響く		2	發出聲音、影響
ひひょう	2		批評		0	批評、評論
ひふ	2		皮膚		1	皮膚
ひま	4		暇		0	閒暇、餘暇
ひみつ	2		秘密		0	秘密、機密
びみょう	2		微妙		0	微妙
ひめい	1		悲鳴		0	悲鳴、驚叫聲
ひも	2		紐		0	細繩
ひやかす	1		冷やかす		3	冷卻、嘲弄
ひゃく	4		百		2	一百
ひやけ	1		日焼け		0	曬黑、曬乾
ひやす	2		冷やす		2	使冷靜
ひゃっかじてん	2		百科辞典、百科事典		4	百科辭典
ひょう	2		表		0	表格
ひょう	1		票		0	投票時所使用的紙張
ひよう	2		費用		1	經費、費用
びょう	2		〜病		1	病
びょう	2		秒		1	（時間的單位）秒數
びよう	2		美容		0	美容
びょういん	4		病院		0	醫院
ひょうか	2		評価		1	價值的評斷
びょうき	4		病気		0	生病
ひょうげん	2		表現		3	表現、表達
ひょうご	1		標語		0	標語
ひょうし	2		表紙		0,3	封面
ひょうしき	2		標識		0	道路指示、標記
びょうしゃ	1		描写		0	描冩
ひょうじゅん	2		標準		0	平均、均等、普通
ひょうじょう	2		表情		3	表情
びょうどう	2		平等		0	無差別、無分別
ひょうばん	2		評判		0	經由批評所做出的判斷
ひょうほん	2		標本		0	標本
ひょうめん	2		表面		3	物體最外層的部份
ひょうろん	2		評論		0	評論、批評、討論
ひょっと	1		ひょっと		0,1	不經意、突然、萬一…
びら	1		びら		0	廣告、傳單
ひらがな	4		平仮名		0,3,4	平假名
ひらく	3		開く		2	開放、打開
ひらたい	1		平たい		0,3	不凹不凸、平坦
びり	1		びり		1	最下位(者)
ひりつ	1		比率		0	比率
ひりょう	1		肥料		1	肥料
びりょう	1		微量		0	極少的份量
ひる	4		昼		2	中午
ビル	2		building		1	大廈
ひるごはん	4		昼御飯		3	中餐
ビルディング	2		building		1	大廈
ひるね	2		昼寝		0	午睡
ひるま	3		昼間		3	白天
ひるめし	1		昼飯		0	午飯
ひるやすみ	3		昼休み		3	午休
ひれい	1		比例		0	比例
ひろい	4		広い		2	寬闊、寬廣、廣泛
ひろう	3		拾う		0	撿
ひろう	1		疲労		0	疲累的
ひろう	1	*0	披露		1	披露、公布、發表
ひろがる	2		広がる		0	擴大、展寬
ひろげる	2		広げる		0	打開、擴展、擺開
ひろさ	2		広さ		0	範圍、寬度、幅度
ひろば	2		広場		1	廣場
ひろびろ	2		広々		3	非常寬廣的
ひろまる	1		広まる		0,3	範圍可以變寬廣
ひろめる	2		広める		3	範圍寬廣
ひん	2		品		0	品格、風格
びん	2		便		1	運送貨物或信件等等
びん	2		瓶		1	瓶子
ピン	2		pin		1	別針
びんかん	1		敏感		0	感覺靈敏
ピンク	2		pink		1	粉紅色、色情
ひんけつ	1	*0	貧血		0	貧血
ひんこん	1		貧困		0	貧窮、貧困、貧乏
ひんしつ	1		品質		0	物品的價值
ひんじゃく	1		貧弱		0	貧窮且虛弱
ひんしゅ	1		品種		0	物品的種類
びんせん	2		便箋		0	書籤
びんづめ	2		瓶詰め		0,4	把物品裝進瓶子
ヒント	1		hint		1	啟發、提示
ひんぱん	1		頻繁		0	常常、時常
びんぼう	1		貧乏		1	貧窮、貧困、生活不容易
ぶ	2		分		0	形勢、程度
ぶ	2		部		0,1	部分、部門、學校社團
ぶ	2		〜部			份
ふ//ぶ	2		不、無〜			沒有、無、不
ファイト	1		fight		0,1	鬥志、鬥爭、打鬥
ファイル	1		file		1	資料夾
ファスナー	2		fastener		1	拉鏈
ファン	1		fan		1	迷、愛好者、風扇、換氣扇
ふあん	2		不安		0	擔心、心情緊張
ふい	1		不意		0	突然、預想不到
フィルター	1		filter		0,1	濾鏡、過濾(嘴)(器)
フィルム	4		film		1	底片、薄膜、電影
フイルム	0		film		0	底片、薄膜、電影
ふう	2		〜風			地方風俗、風格、方法、做法、狀態
ふう	1		封		1	封、封口
ふうけい	2		風景		1	在當場的情景、眼前的景色
ふうさ	1		封鎖		0	封鎖、凍結
ふうしゃ	1		風車		0,1	風車
ふうしゅう	1		風習		0	風俗習慣
ふうせん	2		風船		0	氣球
ふうぞく	1		風俗		1	日常生活中的做為
ブーツ	1		boots		1	靴子
ふうど	1		風土		1	土地的狀態
ふうとう	4		封筒		0	信封
ふうふ	2		夫婦		1	夫妻
ブーム	1		boom		1	風潮、流行
プール	4		pool		1	游泳池
ふうん	2		不運		1	運氣不好
ふえ	2		笛		0	笛、横笛
フェリー	1		ferryboat		1	輪渡、貨櫃船的簡稱
ふえる	3		増える		2	增加
フォーク	4		fork		1	叉子
フォーム	1		form		1	形式、格式、樣子
ふか	2		不可		1,2	不好、不可以、不及格
ぶか	1		部下		1	部下、下屬
ふかい	3		深い		2	深、濃
ふかけつ	1		不可欠		2	必須、不可缺少
ぶかぶか	1		ぶかぶか		0,1	身上所穿之物過大的樣子
ふかまる	2		深まる		3	變深了
ふかめる	1		深める		3	想法很深
ぶき	2		武器		1	武器、有力的手段
ふきそく	2		不規則		2,3	不規則
ふきつ	1		不吉		0	不吉利的象徵
ふきゅう	2		普及		0	普及、普遍
ふきょう	1		不況		0	景氣不好
ふきん	2		付近		1,2	旁邊、附近
ふきん	1		布巾		2	擦食器的布
ふく	4		吹く		1	吹
ふく	4		服		2	衣服
ふく	2		拭く		0	擦拭
ふく	2		副〜		2	副
ふく	1		福		2	幸運、福氣
ふくごう	1		複合		0	複合、合成
ふくざつ	3		複雑		0	複雜、不簡易、不單純
ふくし	2		副詞		0	副詞
ふくし	1		福祉		0,2	福利
ふくしゃ	2		複写		0	複製、復印
ふくしゅう	3		復習		0	復習
ふくすう	2		複数		3	兩個以上的數目
ふくそう	2		服装		0	服裝
ふくむ	2		含む		2	包含
ふくめる	2		含める		3	包含、包括
ふくめん	1		覆面		0	遮面、匿名
ふくらます	2		膨らます		0	使其膨漲
ふくらむ	2		膨らむ		0	膨張、計劃規模很大
ふくれる	1		膨れる		0	脹、腫
ふくろ	2		袋		3	袋子
ふけいき	1		不景気		2	不景氣
ふけつ	2		不潔		0	不乾淨
ふける	2		更ける		2	深夜
ふける	1		老ける		2	上了年紀
ふける	1		耽る		2	沉迷、熱中
ふこう	2		不幸		2	不幸
ふごう	2		符号		0	符號
ふごう	1		富豪		0	富豪
ふこく	1		布告		0	佈告
ブザー	1		buzzer		1	蜂鳴器
ふさい	2		夫妻		1,2	夫妻
ふさい	1		負債		0	負債
ふざい	1		不在		0	不在(家)
ふさがる	2		塞がる		0	關、閉
ふさぐ	2		塞ぐ		0	鬱悶
ふざける	2		巫山戯る		0	堵塞
ぶさた	2		無沙汰		0	好久不見
ふさわしい	1		相応しい		4	適合
ふし	2		節		2	關節
ぶし	2		武士		1	武士
ぶじ	2		無事		0	平安
ふしぎ	2		不思議		0	難以想像
ぶしゅ	2		部首		1	部首
ふじゆう	2		不自由		1	不如意
ふじゅん	1		不順		0	不正常
ふしょう	1		負傷		0	受傷
ぶじょく	1		侮辱		0	侮辱
ふしん	1		不振		0	不興旺
ふしん	1		不審		0	懷疑
ふじん	2		夫人		0	夫人
ふじん	2		婦人		0	婦女
ふすま	2		襖		0,3	兩面糊紙的拉門
ふせい	2		不正		0	不正、不正
ふせぐ	2		防ぐ		2	防禦
ぶそう	1		武装		0	武裝
ふそく	2		不足		0	缺少、不足
ふぞく	2		付属		0	附屬
ふた	2		蓋		0	蓋子
ふだ	1		札		0	門票
ぶたい	2		舞台		1	舞台
ふたご	2		双子		0	雙胞胎
ふたたび	2		再び		0	再、又、再次
ふたつ	4		二つ		3	兩個
ぶたにく	4		豚肉		0	豬肉
ふたり	4		二人		3	兩個人
ふたん	2	*1	負担		0	負擔
ふだん	2		普段		1	平時、平素
ふち	2		縁		2	邊緣
ふちょう	1		不調		0	不順利
ぶちょう	3	*0	部長		0	経理、主任
ぶつ	2		打つ		1	打、敲
ぶつ	2		〜物			東西
ふつう	3		普通		0	普通
ふつう	2		不通		0	不通、沒音信
ふつか	4		二日		0	兩天、二號、二日
ぶっか	2		物価		0	物價
ふっかつ	1		復活		0	恢復
ぶつかる	2		打つかる		0	撞、碰
ぶつぎ	1		物議		1	眾人的說法
ふっきゅう	1		復旧		0	恢復原狀
ぶつける	2		打つける		0	扔、打中
ふっこう	1		復興		0	復興
ぶっし	1		物資		1	物資
ぶっしつ	2		物質		0	物質
ぶっそう	2		物騒		3	騷動不安
ぶつぞう	1		仏像		0	佛像
ぶったい	1		物体		0	物體
ふっとう	1		沸騰		0	沸騰
ぶつぶつ	2		ぶつぶつ		1	小聲嘟噥、牢騒、顆粒狀物
ぶつり	2		物理		1	物理
ふで	2		筆		0	毛筆
ふと	2		ふと	副詞	0,1	忽然
ふとい	4		太い		2	粗、肥
ふとう	1		不当		0	不當
ぶどう	3		葡萄		0	葡萄
ふどうさん	1		不動産		2	不動產
ふとる	3		太る		2	肥胖
ふとん	3		布団		0	墊被、被子
ふなびん	2		船便		0,2	通航
ぶなん	1		無難		0,1	平安無事
ふにん	1		赴任		0	上任
ふね	3		舟、船		1	船、舟
ふはい	1		腐敗		0	腐壞
ふひょう	1		不評		0	評論不好
ぶひん	2		部品		0	零件
ふぶき	2		吹雪		1	暴風雪
ふふく	1		不服		0	不滿意
ぶぶん	2		部分		1	部份
ふへい	2		不平		0	不滿
ふへん	1		普遍		0	普通、共性、普及
ふべん	3		不便		1	不方便
ふぼ	2		父母		1	雙親
ふまえる	1		踏まえる		2,3	踏、踩
ふまん	2		不満		0	不滿意
ふみきり	2		踏切		0	平交道
ふみこむ	1		踏み込む		3	闖入
ふむ	3		踏む		0	踏、踩
ふめい	1		不明		0	不清楚、不明
ふもと	2		麓		3	山腳下
ぶもん	1		部門		1	部門
ふやす	2		増やす、殖やす		2	增加、繁殖
ふゆ	4		冬		2	冬天
ふよう	1		扶養		0	扶養
フライパン	2		frypan		0	(長柄)平底鍋
ブラウス	2		blouse		2	女襯衫、罩衫
ぶらさげる	2		ぶら下げる		0	懸掛
ブラシ	2		brush		0,1	刷子、畫刷
プラス	2		plus		0,1	加、有利、正電、正數
プラスチック	2		plastics		4	塑膠
